"ID_Vaca","Grupo","Estatus","DIM","Leche_AM","Leche_Total","Leche_Anterior","Variacion","CCS","Casos_Mastitis","Ultimo_Tratamiento","Proxima_Revision","Ultimo_Evento_Vet","Toro","Cant_Insem","Fecha_Insem","Dias_Faltan","IEP","Servicios","Categoria","Estatus_Repro","Conteo_Mastitis","Año","Mes","Ubicacion"
"3401","8","Alta","242","15.14","30.5","31.3","-0.64","1330",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"2694","9","Alta","206","8","21","23.3","-0.61","155","3","NEO4+ENRO5",NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","3",2025,"Julio","7PULILI"
"3104","9","Alta","250","13.5","37.5","40.6","1.23","1202",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3222","9","Alta","185","10.6","27.6","30.1","0.08","35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3228","9","Alta","198","16","41","43.1","0.72","115",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3265","9","Alta","205","16.6","36.1","36.3","-0.03","227",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3345","9","Vacia","326","4","12","19.1","-2.12","3056",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3385","9","Alta","191","9.5","24.2","24.4","0","61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3414","9","Alta","184","9","22","24","0","22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3415","9","Alta","191","6.5","15","14.2","0","35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3171","10","Alta","248","17.7","42.7","44.6","-0.31","2496",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3172","10","Preñ","387","17","37","36.6","0.17","7400","2","NEO4+ENRO6","14-02-26","PREPARTO",NA,NA,NA,"-8",NA,NA,"Vaca","Abierta/Vacia","2",2025,"Julio","7PULILI"
"3361","10","Preñ","323","13","28.5","32.6","-0.41","4288",NA,NA,"12-03-26","AVF BOVIS PREPA",NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3366","10","Preñ","338","12","31","36.3","0.26","4368",NA,NA,"12-03-26","AVF BOVIS PREPA",NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3390","10","Alta","226","14.3","36.3","39.4","1.65","1185",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"2811","11","Vacia","258","13.44","36.5","39.7","-2.36","3068",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"2867","11","Preñ","528","14.53","31","30.3","-0.15","13400","1","NEO4+ENRO12","9-02-26","SECADO",NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","1",2025,"Julio","7PULILI"
"2972","11","Insem","325","19.07","40.5","41.5","-0.33","5916","1","BIO4+ENRO6+ANT4",NA,NA,"WISEUP","2","12-09-25",NA,"412","2","Vaca","Inseminada/Preñada","1",2025,"Julio","7PULILI"
"3020","11","Insem","289","21.42","42.8","40.4","-0.24","4032","1","NEOG4+ENRO5",NA,NA,"WISEUP","1","8-09-25",NA,"372","1","Vaca","Inseminada/Preñada","1",2025,"Julio","7PULILI"
