"ID","Nombre","Categoria","Estatus_Repro","X1","Es_Vaca","Es_Recria","Ficha","Leche_Ult","DEL_Ult","Año","Mes","Ubicacion","ID_Num"
"-729","S/N","Vaca","Vacia/Abierta","-729","TRUE","FALSE","3-07-23 PD BIO+ENR4+ENR OLA1+MEL2+GEN5 NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -729 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-729
"-741","S/N","Vaca","Vacia/Abierta","-741","TRUE","FALSE","9-06-23 PI MELO+GENT4+ +ENR6+MU5+ENLA1 NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -741 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-741
"-744","S/N","Vaca","Vacia/Abierta","-744","TRUE","FALSE","18-06-23 PD MELOX+GENT4 +BIOF4+ENRO6 NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -744 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-744
"-760","S/N","Vaca","Vacia/Abierta","-760","TRUE","FALSE","21-05-23 PI BIO+MUL4 ENRO5+ENRLA1 NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -760 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-760
"-771","S/N","Vaca","Vacia/Abierta","-771","TRUE","FALSE","22-05-23 PI NEO+ENR4 +ENRLA1+MULT5 NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -771 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-771
"-792","S/N","Vaca","Vacia/Abierta","-792","TRUE","FALSE","30-11-22 AD MELO+ENRO4+MUL4 NA NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -792 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-792
"-834","S/N","Vaca","Vacia/Abierta","-834","TRUE","FALSE","12-12-22 PI NEO+ENRO+MUL4 NA NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -834 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-834
"-84","S/N","Vaca","Vacia/Abierta","-84","TRUE","FALSE","12-05-25 PD BIO4+ENRO6 NA NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -84 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-84
"-915","S/N","Vaca","Vacia/Abierta","-915","TRUE","FALSE","22-09-22 AD NEO+ENRO4+MUL5 NA NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -915 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-915
"-93","S/N","Vaca","Vacia/Abierta","-93","TRUE","FALSE","8-04-25 AI NEO4+ENR7+ANTI5 NA NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -93 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-93
