PISO_ALTITUDINAL,P204_NOM,RENDIMIENTO_HA_median,RENDIMIENTO_HA_std,count,heladas,ZONA
Piso 2,PASTO NUDILLO,54500.0,91.31659579805547,44,0.0,Zona Optima
Piso 2,PASTO OLIVA,43000.0,0.0,9,0.0,Zona Optima
Piso 2,PASTO PAJA LIMA,44000.0,11962.472770598413,128,0.0,Zona de Riesgo
Piso 2,PASTO TANZANIA,44000.0,0.0,25,0.0,Zona Optima
Piso 2,PIJUAYO PALMITO,12500.0,5026.492315720775,16,0.0,Zona de Riesgo
Piso 2,PITAHAYA,2500.0,0.0,29,0.0,Zona Intermedia
Piso 2,PITUCA,6000.0,1566.1868268091732,85,0.0,Zona Intermedia
Piso 2,PIÑA,6000.0,4427.271392459419,519,34.0,Zona Intermedia
Piso 2,PLATANO,7692.307692307692,2916.7973102440087,6350,7.0,Zona Intermedia
Piso 2,POMARROSA,3000.0,453.5573676110729,50,0.0,Zona Intermedia
Piso 2,POMELO,10256.410256410256,0.0,16,0.0,Zona Intermedia
Piso 2,ROCOTO,16000.0,0.0,10,0.0,Zona Optima
Piso 2,RYE GRASS,42000.0,0.0,14,0.0,Zona Optima
Piso 2,SACHA INCHI,666.6666666666667,0.0,16,0.0,Zona Intermedia
Piso 2,TANGELO,4285.714285714285,2585.432799254848,130,0.0,Zona Intermedia
Piso 2,TARA,1725.0,2425.7913405313943,119,0.0,Zona Intermedia
Piso 2,TOMATE,4848.484848484848,15377.81933131022,28,0.0,Zona Intermedia
Piso 2,TREBOL,40000.0,0.0,14,0.0,Zona Optima
Piso 2,TRIGO,480.0,0.0,12,0.0,Zona Intermedia
Piso 2,TUNA FRUTA,5050.50505050505,2768.565636688308,135,0.0,Zona Intermedia
Piso 2,UNCUCHA,6857.142857142857,2676.664782083523,190,0.0,Zona Intermedia
Piso 2,VAINITA,7070.707070707071,2377.497264728793,68,0.0,Zona Intermedia
Piso 2,VID,20000.0,6898.191833964159,319,0.0,Zona de Riesgo
Piso 2,YUCA,7000.0,4393.4464387084945,710,0.0,Zona Intermedia
Piso 2,ZAPOTE,10000.0,3166.2661669322,68,0.0,Zona Intermedia
Piso 3,ACHIOTE,1000.0,505.780538858873,43,0.0,Zona Intermedia
Piso 3,AJI,2000.0,0.0,25,0.0,Zona Intermedia
Piso 3,AJO,16233.766233766231,516.362254993179,42,14.0,Zona de Riesgo
Piso 3,ALBAHACA,4000.0,0.0,19,0.0,Zona Intermedia
Piso 3,ALFALFA,23691.46005509642,17894.906951040866,5616,343.0,Zona de Riesgo
Piso 3,ARRACACHA,8333.333333333334,2383.3232509212785,155,0.0,Zona Intermedia
Piso 3,ARVEJA GRANO SECO,920.0,219.9932362064799,91,13.0,Zona Intermedia
Piso 3,ARVEJA GRANO VERDE,6000.0,2761.180333423809,468,5.0,Zona Intermedia
Piso 3,AVENA FORRAJERA,12000.0,0.0,40,0.0,Zona Optima
Piso 3,AVENA GRANO,2597.402597402597,0.0,40,0.0,Zona Intermedia
Piso 3,BETARRAGA,14000.0,5141.258791866839,310,0.0,Zona de Riesgo
Piso 3,BROCOLI,11500.0,3762.674465143437,159,0.0,Zona Intermedia
Piso 3,CAFE PERGAMINO,666.6666666666666,560.8790683813309,1854,0.0,Zona Intermedia
Piso 3,CAIGUA,7800.0,0.0,33,0.0,Zona Intermedia
Piso 3,CALABAZA,6000.0,10462.219558880834,289,23.0,Zona Intermedia
Piso 3,CAMOTE,10000.0,4484.140186126745,192,0.0,Zona Intermedia
Piso 3,CAPULI,8000.0,0.0,6,0.0,Zona Intermedia
Piso 3,CAÑA DE AZUCAR PARA AZUCAR,25000.0,25627.463925329255,87,0.0,Zona de Riesgo
Piso 3,CAÑA DE AZUCAR PARA CHANCACA,49000.0,10598.600473267761,71,0.0,Zona de Riesgo
Piso 3,CAÑA DE AZUCAR PARA FRUTA,30000.0,9165.501091397578,156,0.0,Zona de Riesgo
Piso 3,CEBADA GRANO,1800.0,160.37287007136007,54,0.0,Zona Intermedia
Piso 3,CEBOLLA,7500.0,0.0,34,0.0,Zona Intermedia
Piso 3,CEBOLLA CHINA,4500.0,3076.780676536338,372,0.0,Zona Intermedia
Piso 3,CEDRON,3000.0,0.0,11,0.0,Zona Intermedia
Piso 3,CHINCHO,2000.0,0.0,32,0.0,Zona Intermedia
Piso 3,CHIRIMOYO,5000.0,3003.129762415477,1206,0.0,Zona Intermedia
Piso 3,CIRUELA DEL FRAILE,2000.0,0.0,40,0.0,Zona Intermedia
Piso 3,CLAVEL,4615.384615384615,0.0,6,0.0,Zona Intermedia
Piso 3,COL,15000.0,4118.224267115826,527,0.0,Zona de Riesgo
Piso 3,COLIFLOR,10000.0,0.0,9,0.0,Zona Intermedia
Piso 3,CRISANTEMO O POMPON,3200.0,578.0333683758304,28,0.0,Zona Intermedia
Piso 3,CULANTRO,4000.0,2187.159211109385,177,0.0,Zona Intermedia
Piso 3,ESPINACA,7500.0,5192.083728529446,497,0.0,Zona Intermedia
Piso 3,FLORES DE CORTE,6666.666666666667,0.0,37,0.0,Zona Intermedia
Piso 3,FRIJOL BAYO GRANO SECO,900.0,0.0,25,0.0,Zona Intermedia
Piso 3,FRIJOL BLANCO GRANO SECO,800.0,501.9653326571859,47,0.0,Zona Intermedia
Piso 3,FRIJOL CABALLERO GRANO SECO,1000.0,346.7349668131955,39,0.0,Zona Intermedia
